zone_key,season,baseline_mean,baseline_std,baseline_median,n_years
nogob,Belg,208.924,53.52028848950648,191.235,30
nogob,Kiremt,54.516333333333336,15.364283140998854,51.504999999999995,30
northshewa,Belg,179.28616666666667,55.85140190922685,169.92000000000002,60
northshewa,Kiremt,816.31,122.5136776729405,839.425,60
nuer,Belg,195.1423333333333,41.46317150097831,194.475,30
nuer,Kiremt,607.045,79.36650617057639,598.845,30
oromia,Belg,228.35899999999998,73.16719852737859,221.245,30
oromia,Kiremt,550.432,107.11184684148202,541.97,30
semengondar,Belg,148.34633333333335,57.91365347226634,149.735,30
semengondar,Kiremt,927.2819999999999,82.04848442148135,915.75,30
semenwello,Belg,177.85433333333333,54.38004183099007,171.09,30
semenwello,Kiremt,702.545,136.05025308242944,693.8399999999999,30
semienmiirabaw,Belg,75.586,31.8001558877116,75.35,30
semienmiirabaw,Kiremt,852.917,84.9059200710024,833.49,30
shabelle,Belg,153.90099999999998,52.977193619453864,143.54000000000002,30
shabelle,Kiremt,4.396333333333333,4.166042100316461,2.815,30
sheka,Belg,533.3376666666667,69.71463585925486,528.865,30
sheka,Kiremt,1012.8610000000001,84.78166345139854,1006.1700000000001,30
sidama,Belg,450.44466666666665,71.96961733155578,443.2,30
sidama,Kiremt,541.766,78.30288428210388,542.175,30
silti,Belg,338.68666666666667,75.61485018047772,317.12,30
silti,Kiremt,631.8953333333334,74.41666515864127,644.305,30
siti,Belg,70.81366666666666,24.813786696711265,73.13,30
siti,Kiremt,136.61866666666668,34.071908515447994,136.275,30
waghimra,Belg,127.64833333333333,42.52011605746426,122.21000000000001,30
waghimra,Kiremt,621.3009999999999,113.21431219228609,611.2950000000001,30
wolayita,Belg,431.8593333333334,90.0963893008897,434.715,30
wolayita,Kiremt,606.724,99.88256589443016,603.535,30
yem,Belg,331.40066666666667,68.65622903820986,333.255,30
yem,Kiremt,786.0906666666667,69.43704118981022,805.755,30
